time;altitude;velocity;acceleration;air_temperature;air_pressure;air_density;reynoldsnumber
0;0;0;0;15;1013.25;0.001;596737.736
0.01;0;0;0;15;1013.25;0.001;599978.628
0.02;0;0;0;15;1013.25;0.001;603219.52
0.03;0;0;0;15;1013.25;0.001;606460.412
0.04;0;0;0;15;1013.25;0.001;609701.303
0.05;0;0;0;15;1013.25;0.001;612942.195
0.06;0;0;0.111;15;1013.25;0.001;608833.094
0.07;0;0.01;1.763;15;1013.25;0.001;604745.394
0.08;0;0.035;3.415;15;1013.25;0.001;600939.337
0.09;0.001;0.078;5.067;15;1013.25;0.001;598095.975
0.1;0.002;0.137;6.719;15;1013.25;0.001;597337.917
0.11;0.004;0.212;8.372;15;1013.25;0.001;605446.75
0.12;0.006;0.304;10.024;15;1013.249;0.001;618858.877
0.13;0.01;0.413;11.677;15;1013.249;0.001;639489.157
0.14;0.014;0.538;13.331;15;1013.248;0.001;669204.675
0.15;0.021;0.679;14.984;15;1013.248;0.001;709618.046
0.16;0.028;0.837;16.638;15;1013.247;0.001;758979.808
0.17;0.037;1.012;18.292;15;1013.246;0.001;821432.674
0.18;0.048;1.203;19.947;15;1013.244;0.001;897284.923
0.19;0.061;1.411;21.601;15;1013.243;0.001;986474.887
0.2;0.077;1.635;23.256;15;1013.241;0.001;1088707.411
0.21;0.094;1.868;23.261;14.999;1013.239;0.001;1202811.309
0.22;0.114;2.101;23.267;14.999;1013.237;0.001;1319996.823
0.23;0.136;2.333;23.272;14.999;1013.234;0.001;1439519.235
0.24;0.161;2.566;23.277;14.999;1013.231;0.001;1560848.836
0.25;0.188;2.799;23.282;14.999;1013.228;0.001;1683601.465
0.26;0.217;3.032;23.287;14.999;1013.225;0.001;1802829.976
0.27;0.248;3.265;23.292;14.998;1013.221;0.001;1923618.212
0.28;0.282;3.497;23.298;14.998;1013.217;0.001;2045695.214
0.29;0.318;3.73;23.303;14.998;1013.213;0.001;2168848.373
0.3;0.357;3.964;23.308;14.998;1013.208;0.001;2292909.018
0.31;0.397;4.197;23.313;14.997;1013.203;0.001;2421415.277
0.32;0.441;4.43;23.318;14.997;1013.198;0.001;2550195.522
0.33;0.486;4.663;23.323;14.997;1013.193;0.001;2679214.201
0.34;0.534;4.896;23.329;14.997;1013.187;0.001;2808442.211
0.35;0.584;5.13;23.334;14.996;1013.182;0.001;2937855.504
0.36;0.636;5.363;23.339;14.996;1013.175;0.001;3064682.456
0.37;0.691;5.596;23.344;14.996;1013.169;0.001;3191887.595
0.38;0.748;5.83;23.349;14.995;1013.162;0.001;3319430.588
0.39;0.808;6.063;23.354;14.995;1013.155;0.001;3447276.951
0.4;0.87;6.297;23.359;14.994;1013.148;0.001;3575397.032
0.41;0.934;6.531;23.364;14.994;1013.14;0.001;3705405.422
0.42;1;6.764;23.37;14.993;1013.133;0.001;3835514.133
0.43;1.069;6.998;23.375;14.993;1013.125;0.001;3965715.847
0.44;1.14;7.232;23.38;14.993;1013.116;0.001;4096004.155
0.45;1.214;7.466;23.385;14.992;1013.108;0.001;4226373.423
0.46;1.289;7.699;23.39;14.992;1013.099;0.001;4356745.537
0.47;1.368;7.933;23.395;14.991;1013.09;0.001;4487192.793
0.48;1.448;8.167;23.4;14.991;1013.08;0.001;4617710.965
0.49;1.531;8.401;23.405;14.99;1013.07;0.001;4748296.274
0.5;1.616;8.635;23.41;14.989;1013.06;0.001;4878945.337
0.51;1.704;8.87;23.415;14.989;1013.05;0.001;5009996.918
0.52;1.794;9.104;23.42;14.988;1013.04;0.001;5141093.528
0.53;1.886;9.338;23.425;14.988;1013.029;0.001;5272233.632
0.54;1.98;9.572;23.43;14.987;1013.018;0.001;5403415.832
0.55;2.077;9.807;23.436;14.986;1013.006;0.001;5534638.855
0.56;2.176;10.041;23.441;14.986;1012.995;0.001;5664614.766
0.57;2.278;10.275;23.446;14.985;1012.983;0.001;5794690.117
0.58;2.382;10.51;23.451;14.985;1012.971;0.001;5924859.951
0.59;2.488;10.744;23.456;14.984;1012.958;0.001;6055119.725
0.6;2.597;10.979;23.461;14.983;1012.945;0.001;6185465.267
0.61;2.708;11.214;23.466;14.982;1012.932;0.001;6316333.778
0.62;2.821;11.448;23.471;14.982;1012.919;0.001;6447256.277
0.63;2.937;11.683;23.476;14.981;1012.906;0.001;6578230.933
0.64;3.055;11.918;23.481;14.98;1012.892;0.001;6709256.05
0.65;3.175;12.153;23.486;14.979;1012.878;0.001;6840330.052
0.66;3.298;12.387;23.491;14.979;1012.863;0.001;6971775.894
0.67;3.423;12.622;23.496;14.978;1012.849;0.001;7103256.028
0.68;3.55;12.857;23.501;14.977;1012.834;0.001;7234769.812
0.69;3.68;13.092;23.506;14.976;1012.818;0.001;7366316.642
0.7;3.812;13.328;23.511;14.975;1012.803;0.001;7497895.95
0.71;3.947;13.563;23.516;14.974;1012.787;0.001;7629179.806
