x;maxQ;maxQm1;maxQp1;;;
1;-88729.9;-85987.3;-77852.5;;;
1.00221;-151503;-146785;-132962;;;
1.00441;-119380;-115522;-104944;;;
1.00662;-111307;-107624;-97958.9;;;
1.00882;-106746;-103256;-93901.8;;;
1.01103;-103291;-99946.2;-90862.8;;;
1.01324;-100564;-97327.6;-88502.8;;;
1.01544;-98344.2;-95199.7;-86593.7;;;
1.01765;-96489.2;-93427.6;-85003.2;;;
1.01985;-94908.6;-91922.9;-83647.5;;;
1.02206;-93535.7;-90620.1;-82467.6;;;
1.02426;-92321.5;-89468.8;-81424.5;;;
1.02647;-91233.3;-88433.7;-80488.5;;;
1.02868;-90249.4;-87494.3;-79639.2;;;
1.03088;-89354.8;-86637.8;-78864.4;;;
1.03309;-88537.5;-85851.1;-78152.9;;;
1.03529;-87786.3;-85122.4;-77494.6;;;
1.0375;-87090.9;-84443.9;-76883.9;;;
1.03971;-86443.2;-83811.3;-76318.7;;;
1.04191;-85837.5;-83220;-75795.2;;;
1.04412;-85269.5;-82665;-75307.9;;;
1.04632;-84734.3;-82141.2;-74851.4;;;
1.04853;-84226.4;-81643.9;-74421.2;;;
1.05074;-83742;-81169.8;-74014.3;;;
1.05294;-83278.4;-80717.5;-73629;;;
1.05515;-82833.9;-80285.9;-73264.3;;;
1.05735;-82407.8;-79873.8;-72918.8;;;
1.05956;-81999.8;-79479.3;-72590.7;;;
1.06176;-81610;-79100.6;-72278;;;
1.06397;-81237.5;-78736.7;-71979;;;
1.06618;-80880.6;-78387.1;-71692.3;;;
1.06838;-80537.6;-78050.3;-71416.7;;;
1.07059;-80206.9;-77725;-71151.2;;;
1.07279;-79886.8;-77410.2;-70894.9;;;
1.075;-79575.4;-77105.3;-70647.4;;;
1.07721;-79271.8;-76809.1;-70408.5;;;
1.07941;-78975.9;-76520.3;-70178.1;;;
1.08162;-78687.8;-76238.4;-69956;;;
1.08382;-78407.5;-75963.6;-69741.6;;;
1.08603;-78134.7;-75696;-69534.3;;;
1.08824;-77869.1;-75436.1;-69333.6;;;
1.09044;-77610.1;-75183.5;-69139.2;;;
1.09265;-77357.4;-74937.6;-68951;;;
1.09485;-77110.6;-74697.9;-68768.6;;;
1.09706;-76869.5;-74463.8;-68591.7;;;
1.09926;-76633.9;-74234.6;-68420;;;
1.10147;-76403.3;-74010.1;-68253.1;;;
1.10368;-76177.1;-73790.2;-68091;;;
1.10588;-75955.4;-73574.5;-67933.5;;;
1.10809;-75738.3;-73362.4;-67780.5;;;
1.11029;-75525.6;-73153.4;-67631.8;;;
1.1125;-75317.3;-72947.6;-67487.4;;;
1.11471;-75113.2;-72745.3;-67346.8;;;
1.11691;-74912.8;-72546.3;-67209.8;;;
1.11912;-74715.7;-72350.3;-67076.1;;;
1.12132;-74521.1;-72156.9;-66945.4;;;
1.12353;-74328.2;-71965.7;-66817.6;;;
1.12574;-74137.1;-71776.6;-66692.8;;;
1.12794;-73948.5;-71589.8;-66570.9;;;
1.13015;-73762.9;-71405.1;-66451.5;;;
1.13235;-73580.5;-71221.9;-66334.4;;;
1.13456;-73400.9;-71039.7;-66219.4;;;
1.13676;-73223.9;-70858.8;-66106;;;
1.13897;-73048.9;-70679.7;-65994.2;;;
1.14118;-72875.5;-70502.6;-65884.1;;;
1.14338;-72703.8;-70327.6;-65775.5;;;
1.14559;-72533.6;-70155.1;-65668.5;;;
1.14779;-72364.8;-69984.3;-65562.9;;;
1.15;-72197.3;-69814.5;-65458.5;;;
1.15221;-72031.2;-69645.8;-65355.1;;;
1.15441;-71866.6;-69478;-65252.9;;;
1.15662;-71703.9;-69311.2;-65151.5;;;
1.15882;-71542.7;-69145.7;-65051.2;;;
1.16103;-71382.1;-68981.7;-64951.9;;;
1.16324;-71221.9;-68819.3;-64853.6;;;
1.16544;-71062.5;-68658.3;-64756.3;;;
1.16765;-70904.1;-68499.1;-64659.9;;;
1.16985;-70747;-68341.8;-64564.3;;;
1.17206;-70591.3;-68186.8;-64469.8;;;
1.17426;-70436.8;-68033.7;-64376.5;;;
1.17647;-70283.8;-67881.9;-64284.3;;;
1.17868;-70132.2;-67731.1;-64193.1;;;
1.18088;-69982.2;-67581.7;-64103;;;
1.18309;-69833.7;-67434.1;-64013.9;;;
1.18529;-69686.9;-67288.3;-63925.9;;;
1.1875;-69541.8;-67144.4;-63838.9;;;
1.18971;-69398.4;-67002.4;-63753;;;
1.19191;-69256.8;-66862.2;-63668.3;;;
1.19412;-69116.8;-66723.9;-63584.8;;;
1.19632;-68978.9;-66587.3;-63502.5;;;
1.19853;-68842.9;-66452.4;-63421.6;;;
1.20074;-68708;-66319.2;-63342.1;;;
1.20294;-68573.6;-66187.7;-63264.2;;;
