x;heatflux
1;-70655.4
1.002;-123256
1.004;-100351
1.006;-93378.1
1.008;-89586.9
1.01;-86927.1
1.012;-84866.2
1.014;-83177.1
1.016;-81735.7
1.018;-80482.6
1.02;-79382.3
1.022;-78403
1.024;-77518.4
1.026;-76708.4
1.028;-75962
1.03;-75275.2
1.032;-74641.5
1.034;-74052.6
1.036;-73503.9
1.038;-72992.7
1.04;-72517.5
1.042;-72076.2
1.044;-71664.1
1.046;-71275.6
1.048;-70908.1
1.05;-70559.1
1.052;-70231.8
1.054;-69910.9
1.056;-69592.6
1.058;-69285.3
1.06;-68985
1.062;-68697.9
1.064;-68428.1
1.066;-68175.3
1.068;-67935.3
1.07;-67706.8
1.072;-67486.8
1.074;-67271.4
1.076;-67061.9
1.078;-66853.2
1.08;-66647.4
1.082;-66450
1.084;-66257.4
1.086;-66068.6
1.088;-65883.3
1.09;-65702.4
1.092;-65526.9
1.094;-65357.9
1.096;-65195.2
1.098;-65039.5
1.1;-64883.3
1.102;-64726.3
1.104;-64572.7
1.106;-64420.3
1.108;-64271.9
1.11;-64129
1.112;-63991.6
1.114;-63858.6
1.116;-63727.6
1.118;-63597.1
1.12;-63466.8
1.122;-63337.3
1.124;-63209.9
1.126;-63086.2
1.128;-62966.8
1.13;-62851.4
1.132;-62739.4
1.134;-62629.6
1.136;-62520.4
1.138;-62410.9
1.14;-62300.4
1.142;-62189.9
1.144;-62082.1
1.146;-61978.1
1.148;-61878
1.15;-61780.1
1.152;-61689.8
1.154;-61589.7
1.156;-61478.6
1.158;-61371
1.16;-61261.6
1.162;-61156.1
1.164;-61058.2
1.166;-60967.4
1.168;-60886.1
1.17;-60810.9
1.172;-60733.3
1.174;-60657.7
1.176;-60569.6
1.178;-60472.7
1.18;-60382.9
1.182;-60293.9
1.184;-60207.6
1.186;-60124.9
1.188;-60045.1
1.19;-59967.1
1.192;-59890.5
1.194;-59814.6
1.196;-59738.7
1.198;-59662.7
1.2;-59586.9
1.202;-59512.2
1.204;-59439.7
1.206;-59369.6
1.208;-59301.5
1.21;-59234.8
1.212;-59168.8
1.214;-59102.9
1.216;-59036.9
1.218;-58970.8
1.22;-58904.2
1.222;-58837
1.224;-58770.4
1.226;-58706
1.228;-58645.4
1.23;-58587.7
1.232;-58529.8
1.234;-58473.2
1.236;-58411.5
1.238;-58345.8
1.24;-58282.5
1.242;-58219.1
1.244;-58158.5
1.246;-58099.8
1.248;-58051.4
1.25;-58008.7
1.252;-57960.9
1.254;-57912.5
1.256;-57862.8
1.258;-57812.9
1.26;-57759.3
1.262;-57702
1.264;-57645.4
1.266;-57590.6
1.268;-57536.5
1.27;-57492.1
1.272;-57454
1.274;-57412.7
1.276;-57372.4
