x;heatflux
1;-35897.1
1.002;-62887.9
1.004;-51787.3
1.006;-48490.3
1.008;-46497.1
1.01;-45080.5
1.012;-43969.6
1.014;-43025.7
1.016;-42187.7
1.018;-41477.1
1.02;-40925
1.022;-40427.7
1.024;-39942.6
1.026;-39498.5
1.028;-39089.3
1.03;-38692.5
1.032;-38380
1.034;-38115.4
1.036;-37811.9
1.038;-37530.5
1.04;-37271.4
1.042;-37034.8
1.044;-36757.9
1.046;-36468.5
1.048;-36227.7
1.05;-36111.3
1.052;-36046.4
1.054;-35862.4
1.056;-35629.6
1.058;-35441.3
1.06;-35301.3
1.062;-35153.6
1.064;-34997.2
1.066;-34842.9
1.068;-34699.4
1.07;-34567.9
1.072;-34444.1
1.074;-34324.8
1.076;-34206.6
1.078;-34087.7
1.08;-33968.2
1.082;-33850.7
1.084;-33737.6
1.086;-33627.8
1.088;-33519.9
1.09;-33414.3
1.092;-33309.3
1.094;-33207.2
1.096;-33110.5
1.098;-33010
1.1;-32918.2
1.102;-32829.9
1.104;-32727.2
1.106;-32652.5
1.108;-32588.1
1.11;-32497.5
1.112;-32407.1
1.114;-32323.4
1.116;-32243.7
1.118;-32166
1.12;-32089.2
1.122;-32013.2
1.124;-31937.7
1.126;-31862.3
1.128;-31786.9
1.13;-31712.5
1.132;-31639.2
1.134;-31566.4
1.136;-31493.4
1.138;-31420.5
1.14;-31349.7
1.142;-31281.5
1.144;-31213.2
1.146;-31131.9
1.148;-31045
1.15;-30984.8
1.152;-30943.3
1.154;-30897
1.156;-30843.6
1.158;-30784.6
1.16;-30721.6
1.162;-30657.4
1.164;-30595.1
1.166;-30534.9
1.168;-30478.3
1.17;-30422.4
1.172;-30364.8
1.174;-30312
1.176;-30263.6
1.178;-30206.3
1.18;-30146
1.182;-30095.1
1.184;-30045.8
1.186;-29995.7
1.188;-29945.9
1.19;-29896.2
1.192;-29847.9
1.194;-29801.2
1.196;-29755.7
1.198;-29711
1.2;-29666.7
1.202;-29622.6
1.204;-29578.7
1.206;-29534.8
1.208;-29491.1
1.21;-29447.4
1.212;-29403.7
1.214;-29360
1.216;-29316.2
1.218;-29273.2
1.22;-29233.4
1.222;-29198.9
1.224;-29202.1
1.226;-29146.7
1.228;-29046.5
1.23;-28989.2
1.232;-28935
1.234;-28902.1
1.236;-28884.1
1.238;-28862.2
1.24;-28827.7
