x;maxQ;maxQm10;maxQp10;maxQp20
1;0.235555;0.388438;0.0741045;0.0145591
1.002;0.266758;0.406977;0.0942507;0.0183183
1.004;0.267573;0.406661;0.0942787;0.0178244
1.006;0.267769;0.406702;0.0942732;0.0177629
1.008;0.267904;0.406531;0.0943216;0.0177356
1.01;0.267937;0.406102;0.0944118;0.0176929
1.012;0.267898;0.405725;0.0944726;0.0176536
1.014;0.267789;0.405335;0.0945061;0.0176284
1.016;0.267616;0.404829;0.0945241;0.0176054
1.018;0.267404;0.404335;0.0945316;0.0175763
1.02;0.267186;0.404014;0.0945249;0.0175468
1.022;0.266976;0.403727;0.0945006;0.0175183
1.024;0.266768;0.403416;0.0944615;0.0174929
1.026;0.266549;0.403058;0.0944151;0.0174699
1.028;0.266313;0.402662;0.0943675;0.0174486
1.03;0.26607;0.40214;0.0943197;0.0174291
1.032;0.26583;0.401689;0.0942668;0.0174117
1.034;0.265595;0.401552;0.0942032;0.0173954
1.036;0.265363;0.401367;0.0941285;0.0173782
1.038;0.265136;0.401066;0.0940485;0.0173595
1.04;0.264921;0.400816;0.0939698;0.0173405
1.042;0.264725;0.400684;0.0938949;0.0173229
1.044;0.264552;0.400435;0.0938222;0.0173081
1.046;0.264397;0.39997;0.0937496;0.0172952
1.048;0.264254;0.39944;0.0936752;0.0172822
1.05;0.264115;0.399252;0.0935986;0.0172684
1.052;0.263998;0.399508;0.0935236;0.0172551
1.054;0.263905;0.399488;0.0934557;0.0172449
1.056;0.263797;0.399082;0.0933964;0.0172392
1.058;0.263669;0.398771;0.0933414;0.0172362
1.06;0.263525;0.398637;0.0932822;0.0172323
1.062;0.263366;0.398488;0.0932105;0.0172244
1.064;0.263213;0.398298;0.0931244;0.017211
1.066;0.263077;0.398083;0.093028;0.017193
1.068;0.262961;0.397874;0.0929281;0.0171722
1.07;0.262863;0.397689;0.0928312;0.0171509
1.072;0.262779;0.397523;0.0927418;0.0171308
1.074;0.262699;0.397368;0.0926608;0.0171125
1.076;0.262621;0.397215;0.0925869;0.0170958
1.078;0.262543;0.397061;0.0925171;0.0170804
1.08;0.262456;0.396908;0.0924484;0.0170657
1.082;0.262365;0.396764;0.0923798;0.0170519
1.084;0.262278;0.39663;0.0923122;0.0170396
1.086;0.262189;0.396503;0.0922472;0.0170292
1.088;0.262096;0.396376;0.0921858;0.0170204
1.09;0.262;0.39625;0.092127;0.0170121
1.092;0.261904;0.396109;0.0920674;0.0170034
1.094;0.261812;0.395957;0.092004;0.0169936
1.096;0.261726;0.395826;0.0919362;0.0169829
1.098;0.261654;0.395653;0.091866;0.0169721
1.1;0.26159;0.395459;0.0917967;0.016962
1.102;0.261519;0.395334;0.0917307;0.0169527
1.104;0.261439;0.395189;0.0916684;0.0169439
1.106;0.261353;0.395078;0.0916087;0.016935
1.108;0.261263;0.395017;0.0915503;0.0169254
1.11;0.261174;0.394887;0.0914922;0.016915
1.112;0.261093;0.394735;0.0914343;0.0169037
1.114;0.261022;0.394602;0.0913773;0.0168917
1.116;0.260957;0.394479;0.0913222;0.0168794
1.118;0.260891;0.394359;0.0912699;0.0168671
1.12;0.260821;0.394241;0.0912213;0.0168553
1.122;0.260744;0.394125;0.0911762;0.0168441
